"ServiceDeliverySiteCode","Region","CAsIssued","AvgAge","NewRegistrations","ActiveApprenticeships"
"4832A","E",344,27.0397350993377,1057,2738
"3714C","E",489,27.1713286713287,1144,4215
"3714G","E",138,25.8575581395349,344,1107
"4826A","E",181,26.9135135135135,555,1658
"4831A","E",116,26.4793103448276,290,893
"4833A","E",185,25.6123260437376,503,1521
"4956A","C",301,26.2112382934443,961,2850
"3052A","C",898,27.9660425261822,3151,9237
"4949A","C",1247,27.4284820031299,3195,10703
"3314A","C",843,26.9385155906895,2277,6663
"3273A","W",721,29.4882434301521,2169,5267
"3060A","W",413,26.0922946655377,1181,3928
"4464A","W",461,26.87,900,3161
"4827A","W",177,26.1132075471698,477,1647
"4757A","W",509,27.2645403377111,1599,4790
"3019C","W",256,25.8141295206056,1189,4018
"4542A","W",169,27.1214285714286,420,1609
"4823A","W",403,25.704572098476,853,2276
"4954A","C",259,25.0876585928489,867,2127
"4828A","N",89,25.9719626168224,214,666
"3165B","N",331,27.0916870415648,818,2312
"4958C","N",89,26.28,325,943
"4431B","N",110,24.3194805194805,385,1285
"3045A","N",147,26.2546125461255,271,1089
"4829A","N",54,26.5698324022346,179,343
"4952A","W",192,26.7244897959184,196,960
